"Negative","Stationary","Positive"
-0.21100000000000002,0.,2.047
-0.367,-0.024,2.095
-0.19,-0.04,0.16
-0.17400000000000002,-0.045000000000000005,1.429
-0.167,0.,2.0140000000000002
-0.167,0.,4.
-0.28600000000000003,0.,1.111
-0.129,0.,1.818
"",0.,0.638
"",0.02,0.8
"",0.,3.556
"",0.,2.8240000000000003
"",0.038,3.818
"",-0.078,2.886
"",0.02,2.
"",0.,""
"",0.,""
"",0.,""
"",0.,""
"",0.,""
"",-0.053000000000000005,""
"",0.,""
"",0.,""
"",0.068,""
"",0.021,""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
