"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.05","flux #/sec negative= 0.","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,1.,0.343,20.,133.7699,1.7900000000000003
2,1.,0.343,3.,121.75590000000001,2.1333333333333333
3,1.,2.924,45.,63.9059,0.24444444444444433
4,1.,0.101,8.,72.04090000000001,2.6999999999999997
5,0.,-0.063,3.,54.959700000000005,4.
6,1.,2.629,32.,72.1494,0.3125
7,0.,0.036000000000000004,4.,104.3848,5.3999999999999995
8,0.,-0.04,9.,113.85780000000001,4.177777777777778
9,0.,0.061000000000000006,12.,98.57900000000001,3.1
10,1.,0.792,27.,66.3636,1.1555555555555552
11,1.,0.137,5.,79.0794,4.5200000000000005
12,0.,0.,1.,265.0233,39.
13,-1.,-0.192,14.,53.0869,1.557142857142857
14,1.,0.19,2.,122.8313,2.
15,1.,0.432,14.,127.3127,1.7714285714285711
16,1.,3.111,3.,54.6702,0.2
17,1.,1.143,3.,63.79600000000001,0.6666666666666666
18,0.,-0.022000000000000002,2.,71.0106,18.1
19,1.,1.8820000000000001,3.,90.28540000000001,0.7333333333333334
20,0.,0.,3.,88.98010000000001,10.133333333333335
21,0.,0.,1.,105.5355,2.
22,0.,0.038,4.,67.14200000000001,5.050000000000001
23,1.,0.767,32.,61.5157,0.8562499999999998
24,0.,0.,1.,81.7818,4.
25,-1.,-0.27,9.,76.63600000000001,1.7999999999999998
26,1.,0.19,2.,48.3781,2.
27,0.,0.,1.,44.672900000000006,1.2
28,1.,0.222,3.,58.157500000000006,4.533333333333334
29,1.,0.19,2.,71.143,2.
30,0.,0.,1.,64.3428,9.200000000000001
31,0.,0.,3.,49.2241,1.
32,-1.,-0.17,2.,57.0754,4.5
33,0.,0.,1.,77.43140000000001,5.4
34,0.,-0.022000000000000002,9.,53.1274,3.711111111111111
35,-1.,-0.8,1.,51.2637,0.8
36,0.,0.,3.,42.528,4.533333333333334
