"pTime [sec] #1","pTime [sec] #2","pTime [sec] #3","pTime [sec] #4","pTime [sec] #5","pTime [sec] #6","pTime [sec] #7","pTime [sec] #8","pTime [sec] #9","pTime [sec] #10","pTime [sec] #11","pTime [sec] #12","pTime [sec] #13","pTime [sec] #14","pTime [sec] #15","pTime [sec] #16","pTime [sec] #17","pTime [sec] #18","pTime [sec] #19","pTime [sec] #20"
9.8,10.4,15.4,6.800000000000001,2.,1.,7.,0.4,6.,4.8,1.4000000000000001,2.,1.4000000000000001,13.600000000000001,4.6000000000000005,2.6,5.6000000000000005,4.8,1.4000000000000001,1.8
0.6,3.8000000000000003,3.8000000000000003,0.4,2.4,"",2.,16.,1.2,"","","",0.2,2.2,2.4,"",0.2,"","",""
3.,10.8,4.,0.4,"","",3.6,0.2,4.4,"","","",0.6,"",0.8,"",2.,"","",""
3.6,1.6,0.8,0.2,"","",2.6,7.2,"","","","",0.6,"",8.6,"",0.6,"","",""
0.8,8.,0.2,2.6,"","","",4.8,"","","","",1.8,"","","",1.2,"","",""
0.2,0.8,0.4,0.2,"","","",9.,"","","","",0.6,"","","","","","",""
0.2,3.,6.,0.6,"","","","","","","","",0.2,"","","","","","",""
0.6,"",2.2,17.6,"","","","","","","","","","","","","","","",""
0.6,"",0.6,0.8,"","","","","","","","","","","","","","","",""
17.8,"",3.6,1.4000000000000001,"","","","","","","","","","","","","","","",""
